Person ID,Activity Type,Start Time,End Time,Duration (minutes),Date
154,Shopping,11:03,11:44,41,2023-03-14
361,Working,10:14,12:11,117,2023-05-30
390,Socializing,18:36,20:05,89,2023-03-27
259,Relaxing,21:01,21:51,50,2023-05-06
244,Relaxing,18:49,19:15,26,2023-02-13
157,Exercising,07:54,08:26,32,2023-01-23
114,Working,06:41,08:57,136,2023-01-06
184,Sleeping,20:56,04:38,462,2023-01-25
335,Working,10:15,12:40,145,2023-05-09
168,Eating,11:51,12:20,29,2023-05-14
325,Shopping,09:49,10:45,56,2023-04-02
143,Working,09:58,11:25,87,2023-02-28
342,Relaxing,18:37,20:18,101,2023-04-17
125,Eating,12:51,13:23,32,2023-05-04
107,Relaxing,21:19,22:00,41,2023-04-15
39,Cleaning,11:07,11:47,40,2023-03-02
224,Working,10:23,12:18,115,2023-02-04
292,Cooking,18:00,18:22,22,2023-05-04
172,Eating,13:39,14:00,21,2023-03-29
48,Eating,12:13,12:25,12,2023-02-02
216,Working,08:47,10:35,108,2023-06-07
330,Cleaning,10:07,10:43,36,2023-02-14
120,Socializing,21:04,00:04,180,2023-04-24
213,Shopping,09:42,10:02,20,2023-03-24
453,Shopping,12:10,13:08,58,2023-06-30
221,Working,08:57,10:47,110,2023-04-27
47,Eating,13:22,13:50,28,2023-01-07
298,Relaxing,19:30,20:10,40,2023-06-17
331,Eating,13:56,14:28,32,2023-02-01
351,Relaxing,18:55,19:12,17,2023-06-08
26,Relaxing,18:36,19:20,44,2023-06-23
94,Working,09:07,10:42,95,2023-01-09
217,Sleeping,21:34,04:42,428,2023-02-24
59,Cooking,17:44,18:27,43,2023-03-06
93,Walking,07:01,07:26,25,2023-02-12
441,Walking,08:38,09:18,40,2023-06-08
410,Socializing,19:58,21:05,67,2023-06-21
119,Exercising,06:08,06:56,48,2023-03-27
201,Cleaning,09:33,10:42,69,2023-05-03
165,Cooking,16:58,17:30,32,2023-06-08
462,Shopping,10:21,10:36,15,2023-02-17
304,Socializing,18:31,19:09,38,2023-04-23
27,Relaxing,20:56,21:57,61,2023-04-17
182,Eating,14:28,14:48,20,2023-06-28
426,Shopping,11:30,13:19,109,2023-06-24
195,Cleaning,09:57,10:58,61,2023-06-27
243,Sleeping,22:08,05:53,465,2023-05-30
491,Cooking,18:49,19:36,47,2023-02-11
467,Exercising,05:32,06:14,42,2023-04-09
333,Cooking,17:13,17:46,33,2023-06-26
337,Cleaning,10:30,10:56,26,2023-02-21
351,Shopping,09:31,10:19,48,2023-06-14
90,Shopping,10:03,11:08,65,2023-02-09
184,Shopping,09:39,10:27,48,2023-03-14
292,Cleaning,10:19,11:04,45,2023-02-20
212,Eating,12:18,12:28,10,2023-06-01
450,Socializing,18:16,19:28,72,2023-04-08
328,Working,09:39,11:48,129,2023-06-17
443,Socializing,18:34,20:36,122,2023-03-13
131,Cooking,17:14,17:32,18,2023-04-13
481,Eating,12:55,13:12,17,2023-01-02
304,Socializing,18:37,20:24,107,2023-03-20
378,Exercising,05:34,06:24,50,2023-06-02
314,Walking,07:30,07:52,22,2023-06-05
329,Sleeping,21:45,05:45,480,2023-01-02
183,Exercising,08:00,08:48,48,2023-05-30
264,Working,07:42,08:30,48,2023-03-31
95,Exercising,05:50,06:05,15,2023-01-05
467,Shopping,09:31,10:40,69,2023-05-22
415,Sleeping,22:27,05:58,451,2023-03-19
465,Exercising,09:28,10:01,33,2023-05-26
59,Walking,07:36,07:46,10,2023-05-14
188,Working,08:07,10:29,142,2023-04-21
433,Working,09:49,12:16,147,2023-05-30
281,Shopping,11:37,12:22,45,2023-01-15
232,Walking,09:26,10:18,52,2023-01-01
102,Sleeping,21:58,04:05,367,2023-05-04
37,Cleaning,10:55,11:36,41,2023-01-27
427,Working,08:39,09:48,69,2023-06-29
246,Cleaning,10:49,11:35,46,2023-06-09
325,Relaxing,20:14,21:37,83,2023-05-09
379,Shopping,11:45,12:40,55,2023-03-20
18,Cleaning,11:07,11:48,41,2023-03-08
254,Shopping,11:43,12:21,38,2023-01-11
395,Eating,14:22,14:37,15,2023-05-10
292,Walking,08:56,09:11,15,2023-06-05
486,Shopping,10:53,11:41,48,2023-02-16
218,Working,10:18,12:37,139,2023-04-14
341,Sleeping,22:12,05:42,450,2023-04-02
382,Exercising,07:58,08:54,56,2023-01-24
89,Working,07:34,09:46,132,2023-05-17
463,Working,09:10,11:36,146,2023-06-24
429,Eating,12:56,13:12,16,2023-03-05
118,Socializing,17:38,19:31,113,2023-04-11
276,Exercising,06:22,06:56,34,2023-06-07
194,Sleeping,22:11,05:22,431,2023-05-18
134,Eating,13:21,13:35,14,2023-04-12
444,Walking,08:35,08:52,17,2023-01-06
285,Exercising,07:30,08:31,61,2023-02-15
137,Sleeping,23:27,05:45,378,2023-01-25
443,Sleeping,23:27,07:31,484,2023-06-28
155,Walking,09:51,10:34,43,2023-01-30
8,Cooking,19:06,19:50,44,2023-01-22
368,Walking,06:49,07:23,34,2023-01-29
338,Cooking,18:30,19:04,34,2023-04-09
275,Relaxing,21:22,22:08,46,2023-04-17
276,Shopping,10:21,11:24,63,2023-04-04
166,Eating,11:53,12:23,30,2023-06-13
412,Eating,11:51,12:12,21,2023-04-16
54,Relaxing,18:42,19:40,58,2023-05-23
36,Sleeping,21:30,05:09,459,2023-06-08
215,Shopping,10:20,10:54,34,2023-03-22
286,Eating,14:23,14:49,26,2023-03-22
231,Working,08:03,10:39,156,2023-06-18
228,Exercising,06:40,07:24,44,2023-05-23
363,Cleaning,10:33,11:38,65,2023-04-18
39,Socializing,20:12,21:21,69,2023-06-01
399,Relaxing,20:41,22:07,86,2023-02-24
133,Socializing,17:36,18:43,67,2023-06-18
55,Shopping,11:17,12:12,55,2023-02-24
249,Cooking,16:44,17:26,42,2023-01-06
164,Walking,08:01,08:17,16,2023-04-09
51,Socializing,17:33,19:54,141,2023-05-09
292,Cleaning,10:01,10:50,49,2023-06-12
422,Working,07:57,08:27,30,2023-06-08
30,Working,10:04,13:16,192,2023-03-19
445,Walking,08:17,08:44,27,2023-03-01
339,Sleeping,22:24,06:25,481,2023-03-22
301,Relaxing,18:54,20:48,114,2023-03-10
371,Relaxing,18:34,20:34,120,2023-06-28
405,Sleeping,22:20,05:40,440,2023-04-29
174,Socializing,20:21,21:04,43,2023-03-26
314,Relaxing,20:06,21:34,88,2023-04-17
446,Working,08:51,10:00,69,2023-02-02
144,Working,09:31,12:18,167,2023-04-20
370,Eating,14:08,14:42,34,2023-04-22
458,Working,10:16,12:54,158,2023-05-03
468,Cleaning,11:00,11:37,37,2023-01-02
327,Cooking,19:20,20:02,42,2023-04-07
478,Walking,09:15,09:36,21,2023-06-02
3,Exercising,05:43,06:11,28,2023-06-02
343,Sleeping,22:49,06:36,467,2023-06-13
